Sample_date,Sample_Time,DateTime, Station, Layer,Salinity_ppt,pH,DO_mg/L,Turb_NTU,Chl_ug/L,T_Fahr,
9/1/2021,0:0:0,09/01/21 00:00, Patapsco River  - Aquarium East Surface,S,6.67,7.3,2.06,1.8,3.05,82.346,
9/1/2021,0:15:0,09/01/21 00:15, Patapsco River  - Aquarium East Surface,S,6.8,7.29,2.16,2.07,4.15,82.427,
9/1/2021,0:30:0,09/01/21 00:30, Patapsco River  - Aquarium East Surface,S,6.73,7.33,1.93,1.93,3.79,82.3082,
9/1/2021,0:45:0,09/01/21 00:45, Patapsco River  - Aquarium East Surface,S,6.71,7.28,1.47,1.54,3.05,82.454,
9/1/2021,1:0:0,09/01/21 01:00, Patapsco River  - Aquarium East Surface,S,6.71,7.33,2.36,2.22,4.55,82.2272,
9/1/2021,1:15:0,09/01/21 01:15, Patapsco River  - Aquarium East Surface,S,6.8,7.32,1.99,2.25,4.47,82.5278,
9/1/2021,1:30:0,09/01/21 01:30, Patapsco River  - Aquarium East Surface,S,6.79,7.29,1.63,1.88,3.7,82.49,
9/1/2021,1:45:0,09/01/21 01:45, Patapsco River  - Aquarium East Surface,S,6.71,7.31,2.29,2.3,3.96,82.1462,
9/1/2021,2:0:0,09/01/21 02:00, Patapsco River  - Aquarium East Surface,S,6.72,7.29,1.86,2.27,3.99,82.1696,
9/1/2021,2:15:0,09/01/21 02:15, Patapsco River  - Aquarium East Surface,S,6.74,7.3,2.06,2.2,4.42,82.1516,
9/1/2021,2:30:0,09/01/21 02:30, Patapsco River  - Aquarium East Surface,S,6.71,7.28,2.26,2.27,4.25,82.031,
9/1/2021,2:45:0,09/01/21 02:45, Patapsco River  - Aquarium East Surface,S,6.69,7.28,2.06,1.86,4.47,81.9932,
9/1/2021,3:0:0,09/01/21 03:00, Patapsco River  - Aquarium East Surface,S,6.7,7.29,2.16,1.93,4.73,81.9914,
9/1/2021,3:15:0,09/01/21 03:15, Patapsco River  - Aquarium East Surface,S,6.74,7.26,1.71,1.95,3.92,82.1102,
