Sample_date,Sample_Time,Salinity_ppt,pH,DO_mg/L,Turb_NTU,Chl_ug/L,BGA_RFU,T_Fahr
9/1/2022,0:0:0,11.21,7.23,1.15,9.02,3.18,2.5,81.221
9/1/2022,0:15:0,11.18,7.23,1.2,8.99,3.14,2.34,81.12
9/1/2022,0:30:0,11.18,7.23,1.17,8.69,3.47,2.38,80.985
9/1/2022,0:45:0,11.24,7.24,1.15,9.96,3.2,2.58,80.926
9/1/2022,1:0:0,11.29,7.25,1.19,9.78,3.61,2.65,80.866
9/1/2022,1:15:0,11.3,7.25,1.08,9.97,3.96,3.04,80.764
9/1/2022,1:30:0,11.37,7.25,1.04,10.31,3.66,3.16,80.751
9/1/2022,1:45:0,11.43,7.26,0.96,10.27,2.95,2.46,80.692
9/1/2022,2:0:0,11.47,7.26,0.96,10.84,3.07,2.66,80.67
9/1/2022,2:15:0,11.5,7.26,1.08,10.58,3.23,2.51,80.649
9/1/2022,2:30:0,11.57,7.25,1.18,9.82,3.11,2.32,80.704
9/1/2022,2:45:0,11.6,7.25,1.09,10.05,2.82,2.63,80.647
9/1/2022,3:0:0,11.64,7.25,1.09,10.45,2.95,2.39,80.634
9/1/2022,3:15:0,11.66,7.25,1.08,10.57,2.94,2.21,80.551
9/1/2022,3:30:0,11.65,7.25,1.14,10.57,2.67,2.26,80.481
9/1/2022,3:45:0,11.64,7.25,1.08,10.59,2.57,2.15,80.389
9/1/2022,4:0:0,11.62,7.26,1.03,10.76,2.9,2.41,80.303
9/1/2022,4:15:0,11.61,7.26,0.98,10.13,3.53,2.58,80.215
9/1/2022,4:30:0,11.54,7.26,0.93,11.16,3.05,2.44,80.186
9/1/2022,4:45:0,11.46,7.26,1.05,11.11,3.2,2.56,80.096
9/1/2022,5:0:0,11.41,7.26,1,10.98,3.58,2.51,80.074
9/1/2022,5:15:0,11.38,7.24,1.19,10.7,3.95,2.79,79.804
9/1/2022,5:30:0,11.34,7.23,1.18,10.8,4.49,3.2,79.725
9/1/2022,5:45:0,11.3,7.22,1.12,11.14,4.32,2.94,79.713
9/1/2022,6:0:0,11.36,7.22,1.26,10.84,4.8,3.42,79.569
9/1/2022,6:15:0,11.31,7.21,1.34,10.93,5.77,3.5,79.542
9/1/2022,6:30:0,11.32,7.21,1.12,11.48,5.47,3.85,79.644
9/1/2022,6:45:0,11.25,7.2,1.21,10.76,5.17,3.84,79.482
9/1/2022,7:0:0,11.21,7.2,1.2,10.5,8.71,4.8,79.534
9/1/2022,7:15:0,11.21,7.18,1.04,10.77,4.49,2.78,79.497
9/1/2022,7:30:0,11.05,7.18,0.99,8.95,6.19,3.39,79.142
9/1/2022,7:45:0,11.06,7.19,1.26,8.77,8.57,5.67,79.108
9/1/2022,8:0:0,11.01,7.19,1.37,7.85,8.75,5.5,78.975
9/1/2022,8:15:0,11.02,7.19,1.33,9.18,8.4,5.89,79.117
9/1/2022,8:30:0,10.97,7.21,1.65,7.59,14.81,7.3,79.023
9/1/2022,8:45:0,10.97,7.2,1.65,7.9,10.92,6.93,79.187
9/1/2022,9:0:0,11.03,7.2,1.56,7.97,12.22,7.56,79.27
9/1/2022,9:15:0,11.09,7.21,1.82,8.34,11.26,7.45,79.417
9/1/2022,9:30:0,11.11,7.2,1.62,8.14,12.84,8.7,79.587
9/1/2022,9:45:0,11.14,7.21,1.99,7.57,14.89,7.45,79.675
9/1/2022,10:0:0,11.17,7.2,1.63,8.02,10.07,4.91,79.745
9/1/2022,10:15:0,11.23,7.19,1.71,7.82,6.46,4.19,79.905
9/1/2022,10:30:0,11.26,7.22,2.05,8.38,5.57,3.74,80.155
9/1/2022,10:45:0,11.26,7.21,1.96,8.07,9.35,6.2,80.218
9/1/2022,11:0:0,11.25,7.21,1.9,8.22,7.3,4.97,80.195
9/1/2022,11:15:0,11.22,7.23,2.16,7.72,10.56,5.09,80.353
9/1/2022,11:30:0,11.15,7.19,1.19,7.6,9.03,6.09,79.803
9/1/2022,11:45:0,11.15,7.25,2.67,7.3,13.38,9.75,80.625
9/1/2022,12:0:0,11.02,7.18,0.86,7.6,4.53,1.81,79.536
9/1/2022,12:15:0,11.12,7.19,1.02,7.55,3.94,2.56,79.914
9/1/2022,12:30:0,11.26,7.22,1.85,8.18,4.51,3.0,80.672
9/1/2022,12:45:0,11.27,7.23,1.82,8.12,4.84,3.33,80.913
9/1/2022,13:0:0,11.3,7.23,1.5,8.21,4.86,3.12,81.109
9/1/2022,13:15:0,11.27,7.24,1.68,8.16,4.17,3.32,81.136
9/1/2022,13:30:0,11.27,7.25,1.71,8.24,5.27,3.21,81.127
9/1/2022,13:45:0,11.29,7.24,1.52,8.16,5.08,3.57,81.228
9/1/2022,14:0:0,11.32,7.25,1.51,8.35,4.97,3.05,81.23
9/1/2022,14:15:0,11.31,7.24,1.69,8.3,5.54,3.5,81.378
9/1/2022,14:30:0,11.28,7.26,1.51,9.3,6.11,4.62,81.417
9/1/2022,14:45:0,11.35,7.26,1.62,8.42,5.07,3.43,81.428
9/1/2022,15:0:0,11.34,7.27,2.15,7.68,6.37,3.74,81.545
9/1/2022,15:15:0,11.34,7.31,2.7,7.45,8.27,4.78,81.682
9/1/2022,15:30:0,11.39,7.38,3.33,7.07,18.16,12.06,81.878
9/1/2022,15:45:0,11.45,7.34,2.82,7.73,12.81,7.08,81.747
9/1/2022,16:0:0,11.44,7.28,1.9,8.89,12.06,6.17,81.432
9/1/2022,16:15:0,11.47,7.28,1.89,8.28,9.62,5.39,81.489
9/1/2022,16:30:0,11.49,7.3,2.24,7.96,8.82,6.45,81.504
9/1/2022,16:45:0,11.57,7.32,2.41,7.46,14.82,9.02,81.487
9/1/2022,17:0:0,11.57,7.32,2.48,7.86,18.66,9.2,81.453
9/1/2022,17:15:0,11.59,7.3,2.39,7.75,14.04,11.57,81.352
9/1/2022,17:30:0,11.64,7.3,2.17,7.7,9.02,4.67,81.266
9/1/2022,17:45:0,11.7,7.26,1.76,8.22,9.97,4.89,81.171
9/1/2022,18:0:0,11.65,7.27,1.92,7.07,7.65,4.69,81.082
9/1/2022,18:15:0,11.69,7.25,1.81,7.08,7.62,4.93,80.998
9/1/2022,18:30:0,11.71,7.23,1.55,7.49,10.69,6.36,80.92
9/1/2022,18:45:0,11.69,7.24,1.6,7.79,7.21,4.41,80.811
9/1/2022,19:0:0,11.69,7.24,1.55,7.79,5.82,3.81,80.769
9/1/2022,19:15:0,11.69,7.24,1.6,7.99,6.69,4.52,80.677
9/1/2022,19:30:0,11.71,7.23,1.46,9.86,6.27,4.16,80.667
9/1/2022,19:45:0,11.69,7.22,1.4,8.56,5.39,3.65,80.658
