Date,Time (GMT),Verified (ft)
2022/08/15,00:00,1.97
2022/08/15,00:06,1.99
2022/08/15,00:12,2.01
2022/08/15,00:18,2.03
2022/08/15,00:24,2.05
2022/08/15,00:30,2.07
2022/08/15,00:36,2.1
2022/08/15,00:42,2.13
2022/08/15,00:48,2.15
2022/08/15,00:54,2.17
2022/08/15,01:00,2.18
2022/08/15,01:06,2.19
2022/08/15,01:12,2.2
2022/08/15,01:18,2.21
2022/08/15,01:24,2.22
2022/08/15,01:30,2.22
2022/08/15,01:36,2.23
2022/08/15,01:42,2.22
2022/08/15,01:48,2.22
2022/08/15,01:54,2.21
2022/08/15,02:00,2.21
2022/08/15,02:06,2.2
2022/08/15,02:12,2.2
2022/08/15,02:18,2.19
2022/08/15,02:24,2.17
2022/08/15,02:30,2.15
2022/08/15,02:36,2.13
2022/08/15,02:42,2.11
2022/08/15,02:48,2.08
2022/08/15,02:54,2.06
2022/08/15,03:00,2.03
2022/08/15,03:06,2
2022/08/15,03:12,1.98
2022/08/15,03:18,1.95
2022/08/15,03:24,1.93
2022/08/15,03:30,1.9
2022/08/15,03:36,1.89
2022/08/15,03:42,1.87
2022/08/15,03:48,1.84
2022/08/15,03:54,1.8
2022/08/15,04:00,1.76
2022/08/15,04:06,1.71
2022/08/15,04:12,1.69
2022/08/15,04:18,1.67
2022/08/15,04:24,1.64
2022/08/15,04:30,1.61
2022/08/15,04:36,1.58
2022/08/15,04:42,1.55
2022/08/15,04:48,1.52
2022/08/15,04:54,1.49
2022/08/15,05:00,1.46
2022/08/15,05:06,1.44
2022/08/15,05:12,1.42
2022/08/15,05:18,1.39
2022/08/15,05:24,1.37
2022/08/15,05:30,1.34
2022/08/15,05:36,1.31
2022/08/15,05:42,1.28
2022/08/15,05:48,1.27
2022/08/15,05:54,1.25
2022/08/15,06:00,1.24
2022/08/15,06:06,1.22
2022/08/15,06:12,1.19
2022/08/15,06:18,1.16
2022/08/15,06:24,1.14
2022/08/15,06:30,1.12
2022/08/15,06:36,1.1
2022/08/15,06:42,1.08
2022/08/15,06:48,1.05
2022/08/15,06:54,1.02
2022/08/15,07:00,1
2022/08/15,07:06,0.98
2022/08/15,07:12,0.97
2022/08/15,07:18,0.95
2022/08/15,07:24,0.95
2022/08/15,07:30,0.94
2022/08/15,07:36,0.93
2022/08/15,07:42,0.92
2022/08/15,07:48,0.92
2022/08/15,07:54,0.92
2022/08/15,08:00,0.92
2022/08/15,08:06,0.92
2022/08/15,08:12,0.92
2022/08/15,08:18,0.92
2022/08/15,08:24,0.93
2022/08/15,08:30,0.95
2022/08/15,08:36,0.96
2022/08/15,08:42,0.98
2022/08/15,08:48,1.01
2022/08/15,08:54,1.02
2022/08/15,09:00,1.05
2022/08/15,09:06,1.07
2022/08/15,09:12,1.09
2022/08/15,09:18,1.12
2022/08/15,09:24,1.14
2022/08/15,09:30,1.17
2022/08/15,09:36,1.21
2022/08/15,09:42,1.23
2022/08/15,09:48,1.26
2022/08/15,09:54,1.29
2022/08/15,10:00,1.32
2022/08/15,10:06,1.36
2022/08/15,10:12,1.39
2022/08/15,10:18,1.43
2022/08/15,10:24,1.47
2022/08/15,10:30,1.51
2022/08/15,10:36,1.53
2022/08/15,10:42,1.57
2022/08/15,10:48,1.61
2022/08/15,10:54,1.65
2022/08/15,11:00,1.68
2022/08/15,11:06,1.71
2022/08/15,11:12,1.73
2022/08/15,11:18,1.77
2022/08/15,11:24,1.8
2022/08/15,11:30,1.84
2022/08/15,11:36,1.87
2022/08/15,11:42,1.92
2022/08/15,11:48,1.94
2022/08/15,11:54,1.98
2022/08/15,12:00,2.02
2022/08/15,12:06,2.04
2022/08/15,12:12,2.08
2022/08/15,12:18,2.1
2022/08/15,12:24,2.12
2022/08/15,12:30,2.15
2022/08/15,12:36,2.17
2022/08/15,12:42,2.2
2022/08/15,12:48,2.22
2022/08/15,12:54,2.25
2022/08/15,13:00,2.27
2022/08/15,13:06,2.29
2022/08/15,13:12,2.31
2022/08/15,13:18,2.31
2022/08/15,13:24,2.29
2022/08/15,13:30,2.29
2022/08/15,13:36,2.29
2022/08/15,13:42,2.28
2022/08/15,13:48,2.27
2022/08/15,13:54,2.26
2022/08/15,14:00,2.26
2022/08/15,14:06,2.26
2022/08/15,14:12,2.23
2022/08/15,14:18,2.23
2022/08/15,14:24,2.19
2022/08/15,14:30,2.19
2022/08/15,14:36,2.19
2022/08/15,14:42,2.17
2022/08/15,14:48,2.17
2022/08/15,14:54,2.14
2022/08/15,15:00,2.1
2022/08/15,15:06,2.07
2022/08/15,15:12,2.05
