"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2022/09/01","00:00","1.403","-","1.02"
"2022/09/01","00:06","1.439","-","1.04"
"2022/09/01","00:12","1.473","-","1.07"
"2022/09/01","00:18","1.507","-","1.11"
"2022/09/01","00:24","1.54","-","1.14"
"2022/09/01","00:30","1.571","-","1.17"
"2022/09/01","00:36","1.602","-","1.21"
"2022/09/01","00:42","1.631","-","1.25"
"2022/09/01","00:48","1.659","-","1.28"
"2022/09/01","00:54","1.685","-","1.32"
"2022/09/01","01:00","1.71","-","1.35"
"2022/09/01","01:06","1.734","-","1.37"
"2022/09/01","01:12","1.756","-","1.41"
"2022/09/01","01:18","1.777","-","1.44"
"2022/09/01","01:24","1.796","-","1.47"
"2022/09/01","01:30","1.814","-","1.49"
"2022/09/01","01:36","1.83","-","1.51"
"2022/09/01","01:42","1.845","-","1.53"
"2022/09/01","01:48","1.858","-","1.54"
"2022/09/01","01:54","1.869","-","1.56"
"2022/09/01","02:00","1.879","-","1.57"
"2022/09/01","02:06","1.888","-","1.58"
"2022/09/01","02:12","1.894","-","1.59"
"2022/09/01","02:18","1.899","-","1.61"
"2022/09/01","02:24","1.902","-","1.61"
"2022/09/01","02:30","1.904","-","1.62"
"2022/09/01","02:36","1.904","-","1.62"
"2022/09/01","02:42","1.902","-","1.62"
"2022/09/01","02:48","1.899","-","1.62"
"2022/09/01","02:54","1.895","-","1.62"
"2022/09/01","03:00","1.889","-","1.61"
"2022/09/01","03:06","1.881","-","1.59"
"2022/09/01","03:12","1.872","-","1.59"
"2022/09/01","03:18","1.862","-","1.58"
"2022/09/01","03:24","1.85","-","1.56"
"2022/09/01","03:30","1.837","-","1.55"
"2022/09/01","03:36","1.823","-","1.54"
"2022/09/01","03:42","1.808","-","1.53"
"2022/09/01","03:48","1.792","-","1.51"
"2022/09/01","03:54","1.775","-","1.49"
"2022/09/01","04:00","1.757","-","1.48"
"2022/09/01","04:06","1.738","-","1.46"
"2022/09/01","04:12","1.718","-","1.43"
"2022/09/01","04:18","1.698","-","1.4"
"2022/09/01","04:24","1.678","-","1.38"
"2022/09/01","04:30","1.656","-","1.36"
"2022/09/01","04:36","1.634","-","1.34"
"2022/09/01","04:42","1.612","-","1.32"
"2022/09/01","04:48","1.589","-","1.3"
"2022/09/01","04:54","1.566","-","1.29"
"2022/09/01","05:00","1.543","-","1.27"
"2022/09/01","05:06","1.52","-","1.26"
"2022/09/01","05:12","1.496","-","1.24"
"2022/09/01","05:18","1.472","-","1.22"
"2022/09/01","05:24","1.448","-","1.2"
"2022/09/01","05:30","1.424","-","1.18"
"2022/09/01","05:36","1.4","-","1.16"
"2022/09/01","05:42","1.376","-","1.13"
"2022/09/01","05:48","1.352","-","1.11"
"2022/09/01","05:54","1.329","-","1.09"
"2022/09/01","06:00","1.305","-","1.06"
"2022/09/01","06:06","1.282","-","1.03"
"2022/09/01","06:12","1.259","-","1.01"
"2022/09/01","06:18","1.237","-","0.99"
"2022/09/01","06:24","1.214","-","0.97"
"2022/09/01","06:30","1.193","-","0.95"
"2022/09/01","06:36","1.171","-","0.92"
"2022/09/01","06:42","1.151","-","0.9"
"2022/09/01","06:48","1.131","-","0.87"
"2022/09/01","06:54","1.111","-","0.85"
"2022/09/01","07:00","1.092","-","0.83"
"2022/09/01","07:06","1.074","-","0.81"
"2022/09/01","07:12","1.057","-","0.79"
"2022/09/01","07:18","1.04","-","0.78"
"2022/09/01","07:24","1.024","-","0.76"
"2022/09/01","07:30","1.009","-","0.74"
"2022/09/01","07:36","0.994","-","0.72"
"2022/09/01","07:42","0.98","-","0.71"
"2022/09/01","07:48","0.967","-","0.7"
"2022/09/01","07:54","0.954","-","0.69"
"2022/09/01","08:00","0.942","-","0.68"
"2022/09/01","08:06","0.931","-","0.67"
"2022/09/01","08:12","0.92","-","0.65"
"2022/09/01","08:18","0.91","-","0.64"
"2022/09/01","08:24","0.901","-","0.63"
"2022/09/01","08:30","0.892","-","0.63"
"2022/09/01","08:36","0.884","-","0.62"
"2022/09/01","08:42","0.876","-","0.62"
"2022/09/01","08:48","0.87","-","0.62"
"2022/09/01","08:54","0.864","-","0.63"
"2022/09/01","09:00","0.858","-","0.62"
