Sample_date,Sample_Time,Salinity_ppt,pH,DO_mg/L,Turb_NTU,Chl_ug/L,T_Fahr
8/15/2022,0:0:0,9.36,7.27,2.79,2.54,24.32,81.255
8/15/2022,0:15:0,9.32,7.25,2.44,2.54,26.18,81.077
8/15/2022,0:30:0,9.28,7.26,2.51,2.69,21.7,81.05
8/15/2022,0:45:0,9.35,7.25,2.43,2.46,27.65,81.117
8/15/2022,1:0:0,9.36,7.23,2.28,2.77,31.37,81.144
8/15/2022,1:15:0,9.35,7.24,2.32,2.45,27.83,81.095
8/15/2022,1:30:0,9.38,7.24,2.22,2.56,28.1,81.122
8/15/2022,1:45:0,9.35,7.24,2.24,2.6,29.07,80.985
8/15/2022,2:0:0,9.36,7.24,2.33,2.47,23.06,80.976
8/15/2022,2:15:0,9.35,7.23,2.34,2.57,26.77,80.94
8/15/2022,2:30:0,9.38,7.23,2.26,2.48,28.02,80.978
8/15/2022,2:45:0,9.41,7.23,2.23,2.59,39.02,81.086
8/15/2022,3:0:0,9.42,7.23,2.2,2.46,28.91,81.014
8/15/2022,3:15:0,9.41,7.21,1.88,2.44,42.78,81.091
8/15/2022,3:30:0,9.36,7.23,2.11,2.64,38.33,80.712
8/15/2022,3:45:0,9.4,7.21,2.09,2.72,37.43,80.812
8/15/2022,4:0:0,9.4,7.22,2.06,2.4,27.79,80.811
8/15/2022,4:15:0,9.43,7.21,1.97,2.67,35.1,80.895
8/15/2022,4:30:0,9.44,7.2,2,3.03,39.62,80.924
8/15/2022,4:45:0,9.49,7.2,1.98,2.9,40.11,81.007
8/15/2022,5:0:0,9.48,7.2,1.88,2.47,36.5,80.965
8/15/2022,5:15:0,9.55,7.2,2.1,2.84,42.7,81.109
8/15/2022,5:30:0,9.54,7.19,1.92,3.04,51.41,81.073
8/15/2022,5:45:0,9.54,7.19,1.85,2.86,62.5,81.075
8/15/2022,6:0:0,9.57,7.19,1.96,3.08,44.9,81.095
8/15/2022,6:15:0,9.54,7.19,1.73,2.99,61.52,81.01
8/15/2022,6:30:0,9.57,7.19,1.84,2.98,43.88,80.985
8/15/2022,6:45:0,9.56,7.19,1.87,3.16,39.94,81.005
8/15/2022,7:0:0,9.56,7.18,1.67,3.33,57.43,81.003
8/15/2022,7:15:0,9.55,7.18,1.79,3.16,48.63,80.962
8/15/2022,7:30:0,9.55,7.18,1.74,3.34,47.6,80.937
8/15/2022,7:45:0,9.57,7.18,1.74,3.13,58.07,80.897
8/15/2022,8:0:0,9.57,7.18,1.69,3.26,72.46,80.94
8/15/2022,8:15:0,9.53,7.19,1.62,3.19,66.91,80.836
8/15/2022,8:30:0,9.54,7.18,1.51,3.54,65.55,80.906
8/15/2022,8:45:0,9.58,7.18,1.76,3.23,46.72,80.924
8/15/2022,9:0:0,9.59,7.18,1.81,3.14,53.44,80.955
8/15/2022,9:15:0,9.59,7.18,1.76,2.94,43.18,80.947
8/15/2022,9:30:0,9.6,7.2,2.05,3.33,39.9,80.958
8/15/2022,9:45:0,9.59,7.22,2.3,3.39,59.06,80.935
8/15/2022,10:0:0,9.63,7.21,2.11,3.3,36.02,81.009
8/15/2022,10:15:0,9.65,7.2,1.98,3.15,25.86,81.045
8/15/2022,10:30:0,9.64,7.21,2.04,3.14,26.12,81.07
8/15/2022,10:45:0,9.66,7.21,2.18,3.24,35.93,81.124
8/15/2022,11:0:0,9.66,7.21,2.26,3.33,34.62,81.178
8/15/2022,11:15:0,9.68,7.22,2.42,3.47,44.52,81.23
8/15/2022,11:30:0,9.66,7.25,2.6,3.62,46.03,81.217
8/15/2022,11:45:0,9.66,7.34,3.72,4.32,69.66,81.336
8/15/2022,12:0:0,9.68,7.29,3.1,4.13,40.57,81.34
8/15/2022,12:15:0,9.69,7.29,3.26,3.94,45.35,81.343
8/15/2022,12:30:0,9.66,7.25,2.5,3.32,57.76,81.28
8/15/2022,12:45:0,9.66,7.35,3.64,3.51,177.02,81.378
8/15/2022,13:0:0,9.65,7.37,3.93,3.6,62.68,81.459
8/15/2022,13:15:0,9.6,7.57,5.33,3.3,61.95,81.687
8/15/2022,13:30:0,9.57,7.66,6.18,3.38,108.81,81.775
8/15/2022,13:45:0,9.49,7.74,6.66,3.99,127.93,81.788
8/15/2022,14:0:0,9.39,7.77,6.83,3.73,126.76,81.865
8/15/2022,14:15:0,9.26,7.87,7.49,3.85,82.19,81.946
8/15/2022,14:30:0,9.09,7.93,7.98,3.68,86.1,82
8/15/2022,14:45:0,9.06,7.99,8.39,4.01,100.26,82.011
8/15/2022,15:0:0,9.05,8.01,8.55,4.29,143.09,82.056
8/15/2022,15:15:0,8.99,8,8.49,3.96,158.81,82.098
8/15/2022,15:30:0,8.93,8.09,9.2,3.79,115.51,82.234
8/15/2022,15:45:0,8.91,7.96,8.1,3.67,183.56,82.026
8/15/2022,16:0:0,8.9,7.95,8.06,3.7,127.96,82.081
8/15/2022,16:15:0,8.86,7.92,7.77,4.33,110.92,81.905
8/15/2022,16:30:0,8.79,7.87,7.46,4.16,122.77,81.721
8/15/2022,16:45:0,8.66,8.02,8.26,4.28,147.34,81.739
8/15/2022,17:0:0,8.61,8.04,8.56,4.35,137.9,81.694
8/15/2022,17:15:0,8.57,8.02,8.28,4.18,129.66,81.595
8/15/2022,17:30:0,8.48,8.12,8.96,3.78,111,81.426
8/15/2022,17:45:0,8.46,8.13,9.19,4,119.97,81.504
8/15/2022,18:0:0,8.58,8,8.06,4.48,128.8,81.536
8/15/2022,18:15:0,8.57,7.98,8.16,3.93,128.09,81.48
8/15/2022,18:30:0,8.67,7.88,7.25,3.36,98.28,81.439
